Edge Type,Node Type,name,single,release_date,genre,notable,written_date,notoriety_date
InterpolatesFrom,Song,Breaking These Chains,True,2017,Oceanus Folk,True,2017,2017
RecordedBy,Song,Breaking These Chains,True,2017,Oceanus Folk,True,2017,2017
PerformerOf,Person,Carlos Duffy,True,2017,Oceanus Folk,True,2017,2017
ComposerOf,Person,Carlos Duffy,True,2017,Oceanus Folk,True,2017,2017
PerformerOf,Person,Min Qin,True,2017,Oceanus Folk,True,2017,2017
ProducerOf,Person,Min Qin,True,2017,Oceanus Folk,True,2017,2017
PerformerOf,Person,Xiuying Xie,True,2017,Oceanus Folk,True,2017,2017
InterpolatesFrom,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InStyleOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InterpolatesFrom,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
LyricalReferenceTo,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
CoverOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InStyleOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InStyleOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InterpolatesFrom,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InterpolatesFrom,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InterpolatesFrom,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InStyleOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
CoverOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
InStyleOf,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
DistributedBy,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,2026,2026
ComposerOf,Person,Luke Payne,False,2026,Lo-Fi Electronica,True,2026,2026
MemberOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
LyricistOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
LyricistOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
ProducerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
ProducerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,Xiulan Zeng,False,2026,Lo-Fi Electronica,True,2026,2026
MemberOf,Person,David Franklin,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,David Franklin,False,2026,Lo-Fi Electronica,True,2026,2026
PerformerOf,Person,David Franklin,False,2026,Lo-Fi Electronica,True,2026,2026
LyricistOf,Person,David Franklin,False,2026,Lo-Fi Electronica,True,2026,2026
InterpolatesFrom,Song,No Limits Left,True,2020,Indie Folk,True,2020,2020
RecordedBy,Song,No Limits Left,True,2020,Indie Folk,True,2020,2020
ProducerOf,Person,Gang Long,True,2020,Indie Folk,True,2020,2020
ProducerOf,Person,Gang Long,True,2020,Indie Folk,True,2020,2020
ProducerOf,Person,Gang Long,True,2020,Indie Folk,True,2020,2020
ComposerOf,Person,Yong Yi,True,2020,Indie Folk,True,2020,2020
ComposerOf,Person,Yong Yi,True,2020,Indie Folk,True,2020,2020
LyricistOf,Person,Li Yi,True,2020,Indie Folk,True,2020,2020
PerformerOf,Person,Li Yi,True,2020,Indie Folk,True,2020,2020
LyricistOf,Person,Li Yi,True,2020,Indie Folk,True,2020,2020
PerformerOf,Person,Li Yi,True,2020,Indie Folk,True,2020,2020
InterpolatesFrom,Song,Sovereign Soul,True,2027,Darkwave,False,2027,2027
RecordedBy,Song,Sovereign Soul,True,2027,Darkwave,False,2027,2027
DistributedBy,Song,Sovereign Soul,True,2027,Darkwave,False,2027,2027
LyricistOf,Person,Timothy Shea,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Timothy Shea,True,2027,Darkwave,False,2027,2027
ComposerOf,Person,Timothy Shea,True,2027,Darkwave,False,2027,2027
ComposerOf,Person,Philippine Colin,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Philippine Colin,True,2027,Darkwave,False,2027,2027
ProducerOf,Person,Connor Juarez,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Jordan Mullins,True,2027,Darkwave,False,2027,2027
LyricistOf,Person,Jordan Mullins,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Xiuying Meng,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Xiuying Meng,True,2027,Darkwave,False,2027,2027
PerformerOf,Person,Xiuying Meng,True,2027,Darkwave,False,2027,2027
LyricalReferenceTo,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
LyricalReferenceTo,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
LyricalReferenceTo,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
InStyleOf,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
DirectlySamples,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
RecordedBy,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
DistributedBy,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Anatol Dietz,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Anatol Dietz,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Anatol Dietz,False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Anatol Dietz,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Tracy Simpson,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Lorraine Martinez,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
LyricistOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ComposerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
PerformerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
ProducerOf,Person,Megan Bennett,False,2022,Speed Metal,True,2022,2022
